1,1,3   # Chile vs Ecuador
2,1,3   # México vs Bolivia
3,1,3   # Uruguay vs Jamaica
4,1,3   # Argentina vs Paraguay
5,1,3   # Colombia vs Venezuela
6,1,3   # Brasil vs Perú
7,1,3   # Ecuador vs Bolivia
8,1,3   # Chile vs México
9,1,3   # Paraguay vs Jamaica
10,1,3  # Argentina vs Uruguay
11,1,3  # Brasil vs Colombia
12,1,3  # Perú vs Venezuela
13,1,3  # México vs Ecuador
14,1,3  # Chile vs Bolivia
15,1,3  # Uruguay vs Paraguay
16,1,3  # Argentina vs Jamaica
17,1,3  # Colombia vs Perú
18,1,3  # Brasil vs Venezuela
19,1,3  # 1A vs 1M3
20,1,3  # 2A vs 2C
21,1,3  # 1B vs 2M3
22,1,3  # 1C vs 2B
23,1,3  # G19 vs G20
24,1,3  # G21 vs G22
25,1,3  # P23 vs P24
26,1,3  # G23 vs G24
