1,2,0   # Chile vs Ecuador
2,2,0   # México vs Bolivia
3,2,0   # Uruguay vs Jamaica
4,2,0   # Argentina vs Paraguay
5,2,0   # Colombia vs Venezuela
6,2,0   # Brasil vs Perú
7,2,0   # Ecuador vs Bolivia
8,2,0   # Chile vs México
9,2,0   # Paraguay vs Jamaica
10,2,0  # Argentina vs Uruguay
11,2,0  # Brasil vs Colombia
12,2,0  # Perú vs Venezuela
13,2,0  # México vs Ecuador
14,2,0  # Chile vs Bolivia
15,2,0  # Uruguay vs Paraguay
16,2,0  # Argentina vs Jamaica
17,2,0  # Colombia vs Perú
18,2,0  # Brasil vs Venezuela
19,2,0  # 1A vs 1M3
20,2,0  # 2A vs 2C
21,2,0  # 1B vs 2M3
22,2,0  # 1C vs 2B
23,2,0  # G19 vs G20
24,2,0  # G21 vs G22
25,2,0  # P23 vs P24
26,2,0  # G23 vs G24
