1,2,0   # Chile vs Ecuador
2,1,1   # México vs Bolivia
3,3,0   # Uruguay vs Jamaica
4,2,1   # Argentina vs Paraguay
5,2,0   # Colombia vs Venezuela
6,4,1   # Brasil vs Perú
7,0,1   # Ecuador vs Bolivia
8,2,1   # Chile vs México
9,2,0   # Paraguay vs Jamaica
10,2,2  # Argentina vs Uruguay
11,2,1  # Brasil vs Colombia
12,0,1  # Perú vs Venezuela
13,1,0  # México vs Ecuador
14,2,0  # Chile vs Bolivia
15,1,0  # Uruguay vs Paraguay
16,3,0  # Argentina vs Jamaica
17,2,0  # Colombia vs Perú
18,3,0  # Brasil vs Venezuela
19,1,0  # 1A vs 1M3
20,0,1  # 2A vs 2C
21,1,0  # 1B vs 2M3
22,0,1  # 1C vs 2B
23,1,0  # G19 vs G20
24,0,1  # G21 vs G22
25,1,0  # P23 vs P24
26,0,1  # G23 vs G24
