1,0,0   # Chile vs Ecuador
2,0,0   # México vs Bolivia
3,0,0   # Uruguay vs Jamaica
4,0,0   # Argentina vs Paraguay
5,0,0   # Colombia vs Venezuela
6,0,0   # Brasil vs Perú
7,0,0   # Ecuador vs Bolivia
8,0,0   # Chile vs México
9,0,0   # Paraguay vs Jamaica
10,0,0  # Argentina vs Uruguay
11,0,0  # Brasil vs Colombia
12,0,0  # Perú vs Venezuela
13,0,0  # México vs Ecuador
14,0,0  # Chile vs Bolivia
15,0,0  # Uruguay vs Paraguay
16,0,0  # Argentina vs Jamaica
17,0,0  # Colombia vs Perú
18,0,0  # Brasil vs Venezuela
19,0,0  # 1A vs 1M3
20,0,0  # 2A vs 2C
21,0,0  # 1B vs 2M3
22,0,0  # 1C vs 2B
23,0,0  # G19 vs G20
24,0,0  # G21 vs G22
25,0,0  # P23 vs P24
26,0,0  # G23 vs G24
